E_MeV,ISO_ref_Cf252,ISO_ref_Cf252_2,ISO_ref_AmBe,ISO_ref_AmB,t4-14-s.txt_1,t4-14-s.txt_2,t4-14-s.txt_3,t4-16-s.txt_1,t4-16-s.txt_2,t4-16-s.txt_3,t4-16-s.txt_4,t4-16-s.txt_5,t4-17-s.txt_1,t4-17-s.txt_2,t4-17-s.txt_3,t4-17-s.txt_4,t4-17-s.txt_5,t4-19-s.txt_1,t4-19-s.txt_2,t4-19-s.txt_3
3.98,2.71E-01,7.75E-02,6.86E-01,3.41E-01,0.000719,0.000608,0,0.0326,0.00787,0.0606,0.00188,0.000338,0.0194,0,0.00368,0,0,0.00502,0.087,0.126
5.01,1.69E-01,5.18E-02,6.50E-01,5.67E-03,0.00138,0.00118,0,0.0189,0.00564,0.0106,0.000972,0.000371,0.0194,0,0.00443,0,0,0.00679,0.0564,0.0966
6.3,8.61E-02,2.68E-02,5.78E-01,0.00E+00,8.15e-05,0.000134,0,0.0175,0.0052,0.00697,0.0011,0.000562,0.0201,0,0.00393,0,0,0.00289,0.0436,0.0582
7.94,3.35E-02,1.06E-02,1.66E-01,0.00E+00,9.83e-05,0.000201,0,0.0133,0.00314,0.00362,0.000498,0.000153,0.0199,0,0.00177,0,0,0.00169,0.0256,0.0488
10,4.27E-03,1.71E-03,1.72E-02,0.00E+00,0.00598,0.00271,0,0,0,0,0.00035,3.11e-05,0.0213,0,0.0106,0,0,0.000167,0.00924,0.0213
15.8,4.31E-04,0.00E+00,0.00E+00,0.00E+00,0.038,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023
25.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00156,0.000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0.00E+0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,0.00E+0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
