E_MeV,3in,4in,5in,6in,8in,9in,12in,18in,9inPb,12inPb,18inPb
2.51,0.164,0.601,1.0,2.07,2.59,3.09,2.4,0.84,3.03,2.55,0.918
3.16,0.129,0.515,0.957,2.08,2.81,3.17,2.64,0.993,3.04,2.73,1.13
3.98,0.108,0.463,0.937,1.92,2.78,3.08,2.77,1.12,2.88,2.83,1.33
5.01,0.107,0.414,0.881,1.64,2.45,2.77,2.74,1.22,2.53,2.8,1.47
6.31,0.107,0.362,0.782,1.33,1.98,2.37,2.52,1.28,2.17,2.61,1.53
7.94,0.0962,0.306,0.656,1.08,1.59,1.95,2.18,1.26,1.89,2.51,1.89
10.0,0.068,0.235,0.501,0.831,1.26,1.46,1.64,1.1,1.64,2.36,1.98
15.8,0.0368,0.157,0.338,0.595,0.996,0.922,1.07,0.847,1.53,1.02,1.83
25.1,0.0203,0.102,0.223,0.429,0.787,0.582,0.759,0.7,1.43,1.9,1.84
39.8,0.0133,0.0684,0.152,0.214,0.605,0.405,0.67,0.728,1.4,1.56,1.94
63.1,0.00999,0.0391,0.108,0.188,0.329,0.379,0.645,0.735,1.51,1.49,1.88
100.0,0.00834,0.0332,0.0975,0.152,0.265,0.383,0.636,0.771,1.76,1.6,1.92
158.0,0.00714,0.0317,0.0933,0.144,0.232,0.386,0.654,0.567,1.91,2.04,2.03
251.0,0.00679,0.0289,0.0826,0.134,0.244,0.281,0.743,0.553,2.31,2.56,2.97
398.0,0.0056,0.0237,0.0535,0.12,0.256,0.349,0.866,0.699,2.97,3.22,3.52
631.0,0.0056,0.0237,0.0535,0.12,0.256,0.349,0.866,0.699,2.97,3.22,3.52
